INFO [12-20|14:19:09.052] New local node record                    seq=1 id=a3dc6a456a399bc2 ip=<nil> udp=0 tcp=0
TRACE[12-20|14:19:16.539] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:16.613] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:16.613] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:16.801] >> PING/v4                               addr=172.19.0.2:30303   err=nil
DEBUG[12-20|14:19:16.821] Revalidated node                         b=12 id=aca7f1b9a96fa71c
TRACE[12-20|14:19:16.821] << PONG/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:17.336] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:17.336] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:17.428] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:17.428] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:17.553] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:17.553] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:17.631] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:17.631] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:18.531] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:18.531] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:19.141] >> PING/v4                               addr=172.19.0.2:30303   err=nil
DEBUG[12-20|14:19:19.162] Revalidated node                         b=12 id=aca7f1b9a96fa71c
TRACE[12-20|14:19:19.162] << PONG/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:19.336] >> PONG/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:19.337] << PING/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:19.438] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:19.438] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:20.221] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:20.221] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:21.307] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:21.307] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:21.454] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:21.454] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:23.440] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:23.440] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:24.195] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:24.195] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:25.037] >> PING/v4                               addr=172.19.0.101:30303 err=nil
DEBUG[12-20|14:19:25.102] Revalidated node                         b=16 id=351f7398fade5b04
TRACE[12-20|14:19:25.102] << PONG/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:25.215] >> PONG/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:25.215] << PING/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:25.315] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:25.315] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:25.486] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:25.486] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:25.590] >> PONG/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:25.591] << PING/v4                               addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:27.446] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:27.446] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:28.217] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:28.217] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:28.495] >> PONG/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:28.495] << PING/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:29.313] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:29.313] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:19:29.527] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:29.527] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:31.479] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:31.479] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:32.228] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:32.228] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:19:33.286] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
